date,Open,High,Low,Close,Volume,Dividends
2015-02-05,21.89,21.89,21.89,21.89,0,0.0
2015-12-02,20.0,20.0,20.0,20.0,0,0.0
2015-12-03,20.0,20.0,20.0,20.0,0,0.0
2015-12-04,20.0,20.0,20.0,20.0,0,0.0
2015-12-07,20.01,20.01,20.01,20.01,0,0.0
2015-12-08,20.02,20.02,20.02,20.02,0,0.0
2015-12-09,20.03,20.03,20.03,20.03,0,0.0
2015-12-10,20.06,20.06,20.06,20.06,0,0.0
2015-12-11,20.42,20.42,20.42,20.42,0,0.0
2015-12-14,20.06,20.39,20.06,20.33,5920000,0.0
2015-12-15,20.35,20.35,20.25,20.3,3729000,0.0
2015-12-16,19.99,20.18,19.99,20.03,2138000,0.0
2015-12-17,19.89,19.9,19.82,19.86,1585000,0.0
2015-12-18,20.15,20.23,20.11,20.22,2617000,0.0
2015-12-21,20.45,20.47,20.37,20.38,3403000,0.0
2015-12-22,20.3,20.3,20.22,20.22,3435000,0.0
2015-12-23,20.27,20.27,20.06,20.09,1591000,0.0
2015-12-24,19.9,19.91,19.86,19.91,3059000,0.0
2015-12-25,19.92,19.95,19.89,19.93,569000,0.0
2015-12-28,19.9,19.9,19.87,19.87,583000,0.0
2015-12-29,19.93,19.93,19.87,19.88,815000,0.0
2015-12-30,19.7,19.74,19.68,19.73,2037000,0.0
2015-12-31,19.81,19.88,19.81,19.88,1283000,0.0
2016-01-04,19.99,20.23,19.94,20.22,3863000,0.0
2016-01-05,20.34,20.36,20.28,20.36,3005000,0.0
2016-01-06,20.36,20.65,20.35,20.57,5346000,0.0
2016-01-07,20.75,20.97,20.66,20.97,5169000,0.0
2016-01-08,21.34,21.34,21.02,21.07,8593000,0.0
2016-01-11,21.59,21.72,21.54,21.6,3034000,0.0
2016-01-12,21.56,21.66,21.47,21.66,3270000,0.0
2016-01-13,21.5,21.5,21.22,21.27,3116000,0.0
2016-01-14,21.96,22.0,21.85,21.88,2671000,0.0
2016-01-15,21.62,21.82,21.55,21.8,4829000,0.0
2016-01-18,22.1,22.14,21.97,21.98,4868000,0.0
2016-01-19,22.08,22.08,21.88,21.88,3383000,0.0
