date,Open,High,Low,Close,Volume,Dividends
2016-07-21,20.0,20.0,20.0,20.0,0,0.0
2016-07-22,20.0,20.0,20.0,20.0,0,0.0
2016-07-25,20.0,20.0,20.0,20.0,0,0.0
2016-07-26,20.0,20.0,20.0,20.0,0,0.0
2016-07-27,20.0,20.0,20.0,20.0,0,0.0
2016-07-28,20.0,20.0,20.0,20.0,0,0.0
2016-07-29,20.01,20.01,20.01,20.01,0,0.0
2016-08-01,19.91,19.91,19.91,19.91,0,0.0
2016-08-03,19.93,19.93,19.93,19.93,0,0.0
2016-08-04,20.02,20.02,20.02,20.02,0,0.0
2016-08-05,20.04,20.57,20.03,20.42,5544000,0.0
2016-08-08,20.38,20.9,20.38,20.89,3083000,0.0
2016-08-09,20.91,21.13,20.9,21.13,2807000,0.0
2016-08-10,21.29,21.45,21.19,21.39,3441000,0.0
2016-08-11,21.23,21.67,20.94,21.67,4576000,0.0
2016-08-12,21.7,22.4,21.7,22.34,4539000,0.0
2016-08-15,22.45,23.21,22.27,23.13,5447000,0.0
2016-08-16,23.47,23.5,22.92,23.11,2915000,0.0
2016-08-17,23.65,23.7,22.96,23.08,4466000,0.0
2016-08-18,22.91,22.91,22.91,22.91,0,0.0
2016-08-19,23.06,23.06,22.41,22.6,3214000,0.0
2016-08-22,22.69,22.76,22.18,22.37,3197000,0.0
2016-08-23,22.32,22.62,22.32,22.5,2317000,0.0
2016-08-24,22.55,22.63,21.99,22.09,3582000,0.0
2016-08-25,22.0,22.43,22.0,22.28,2083000,0.0
2016-08-26,22.22,22.54,22.19,22.33,2585000,0.0
2016-08-29,22.39,22.47,21.94,22.16,3244000,0.0
2016-08-30,22.27,22.66,22.22,22.56,2414000,0.0
2016-08-31,22.62,22.62,22.45,22.45,2285000,0.0
2016-09-01,22.33,22.65,22.04,22.55,3389000,0.0
2016-09-02,22.52,23.03,22.52,23.0,2332000,0.0
2016-09-05,23.23,23.85,23.23,23.77,3425000,0.0
2016-09-06,23.87,23.97,23.56,23.9,3195000,0.0
2016-09-07,24.0,24.46,23.94,24.32,3146000,0.0
2016-09-08,24.32,24.46,24.13,24.42,1960000,0.0
2016-09-09,24.45,25.26,24.4,25.26,3392000,0.0
2016-09-12,24.0,24.16,23.05,23.07,6525000,0.0
2016-09-13,23.35,23.58,23.05,23.05,3614000,0.0
2016-09-14,22.69,22.84,22.36,22.47,3242000,0.0
2016-09-19,22.59,23.6,22.59,23.54,4162000,0.0
2016-09-20,23.55,23.55,23.02,23.21,2438000,0.0
2016-09-21,23.25,23.78,23.07,23.72,3095000,0.0
2016-09-22,23.99,24.91,23.99,24.3,3845000,0.0
2016-09-23,24.48,24.48,23.74,23.82,3256000,0.0
2016-09-26,23.56,23.69,22.93,23.19,3517000,0.0
2016-09-27,23.19,23.19,23.19,23.19,0,0.0
2016-09-28,23.19,23.19,23.19,23.19,0,0.0
2016-09-29,23.3,23.58,23.11,23.38,2630000,0.0
2016-09-30,23.21,23.21,22.71,22.88,3949000,0.0
2016-10-03,22.9,23.3,22.9,22.94,2807000,0.0
2016-10-04,22.9,23.11,22.84,23.04,2517000,0.0
2016-10-05,23.09,23.68,22.84,23.53,3463000,0.0
2016-10-06,23.64,24.06,23.58,24.0,2963000,0.0
2016-10-07,24.02,24.15,23.89,23.95,1820000,0.0
2016-10-11,24.19,24.64,23.3,23.43,4931000,0.0
2016-10-12,23.36,23.36,22.68,22.75,6685000,0.0
2016-10-13,22.82,22.86,22.11,22.25,6822000,0.0
2016-10-14,22.17,22.49,22.12,22.41,3522000,0.0
2016-10-17,22.49,22.54,22.1,22.36,3613000,0.0
2016-10-18,22.39,22.92,22.39,22.92,3617000,0.0
2016-10-19,23.03,23.09,22.7,22.72,3187000,0.0
2016-10-20,22.83,23.09,22.83,22.99,3222000,0.0
2016-10-21,22.91,22.95,22.87,22.87,1288000,0.0
2016-10-24,23.02,23.46,22.64,23.36,3979000,0.0
2016-10-25,23.49,23.56,23.39,23.46,2954000,0.0
2016-10-26,23.38,23.38,22.93,23.01,3310000,0.0
2016-10-27,22.93,22.96,22.1,22.22,7323000,0.0
2016-10-28,22.29,22.62,22.21,22.21,2734000,0.0
2016-10-31,22.11,22.56,21.81,22.5,4097000,0.0
2016-11-01,22.38,23.19,22.3,23.1,5762000,0.0
2016-11-02,22.89,22.89,21.98,21.98,6608000,0.0
2016-11-03,21.9,22.19,21.79,22.16,4774000,0.0
2016-11-04,22.05,22.09,21.76,21.88,3067000,0.0
2016-11-07,22.1,22.3,22.05,22.22,3405000,0.0
2016-11-08,22.4,22.75,22.27,22.45,4439000,0.0
2016-11-09,22.55,22.97,20.3,20.92,12904000,0.0
2016-11-10,22.2,22.53,22.02,22.3,5164000,0.0
2016-11-11,22.06,22.06,21.1,21.72,7428000,0.0
2016-11-14,21.5,21.7,20.93,21.25,5949000,0.0
2016-11-15,21.0,21.61,21.0,21.48,4104000,0.0
2016-11-16,21.66,21.9,21.59,21.66,4691000,0.0
2016-11-17,21.45,21.62,21.07,21.22,4074000,0.0
2016-11-18,21.35,21.35,20.92,21.16,4044000,0.0
2016-11-21,21.11,21.79,21.07,21.56,3885000,0.0
2016-11-22,21.62,22.48,21.62,22.44,7289000,0.0
2016-11-23,22.49,23.08,22.49,22.87,6366000,0.0
2016-11-24,22.75,22.75,22.2,22.68,5677000,0.0
2016-11-25,22.68,23.16,22.62,22.97,5389000,0.0
2016-11-28,23.43,23.77,23.2,23.77,6599000,0.0
2016-11-29,23.65,23.7,23.3,23.61,5356000,0.0
2016-11-30,23.5,23.98,23.5,23.61,4903000,0.0
2016-12-01,23.57,24.13,23.57,23.85,3622000,0.0
2016-12-02,23.85,23.85,23.11,23.26,5965000,0.0
2016-12-05,23.3,23.39,22.77,22.82,4124000,0.0
2016-12-06,23.04,23.35,23.04,23.18,4941000,0.0
2016-12-07,23.38,23.49,23.1,23.32,3699000,0.0
2016-12-08,23.55,24.05,23.55,23.78,5947000,0.0
2016-12-09,23.75,23.9,23.44,23.78,3661000,0.0
2016-12-12,23.85,23.87,22.83,22.92,5050000,0.0
2016-12-13,22.78,22.85,22.52,22.69,3108000,0.0
2016-12-14,22.8,23.16,22.8,23.0,3682000,0.0
2016-12-15,22.79,22.79,21.6,21.72,10175000,0.0
2016-12-16,21.75,22.14,21.6,21.88,3888000,0.0
2016-12-19,21.69,21.76,21.29,21.32,3357000,0.0
2016-12-20,21.27,21.39,21.02,21.02,2855000,0.0
2016-12-21,21.04,21.3,20.98,21.2,3308000,0.0
2016-12-22,21.19,21.19,20.5,20.56,5005000,0.0
2016-12-23,20.5,20.6,20.18,20.2,5365000,0.0
2016-12-26,20.35,20.35,20.15,20.2,483000,0.0
2016-12-27,20.37,20.45,20.35,20.4,610000,0.0
2016-12-28,20.46,20.66,20.4,20.66,2300000,0.0
2016-12-29,20.61,20.94,20.58,20.79,2912000,0.0
2016-12-30,20.88,21.39,20.88,21.39,3298000,0.0
2017-01-03,21.3,21.67,21.01,21.64,2638000,0.0
2017-01-04,21.68,21.72,21.35,21.5,2253000,0.0
2017-01-05,21.65,22.15,21.61,22.09,5453000,0.0
2017-01-06,22.2,22.46,22.13,22.15,4234000,0.0
2017-01-09,22.21,22.42,22.01,22.14,2000000,0.0
2017-01-10,22.04,22.43,22.04,22.36,2473000,0.0
2017-01-11,22.46,22.79,22.44,22.65,6942000,0.0
2017-01-12,22.69,22.88,22.6,22.69,3731000,0.0
2017-01-13,22.75,22.98,22.62,22.92,4703000,0.0
2017-01-16,22.88,22.88,22.22,22.3,2093000,0.0
2017-01-17,22.4,22.53,22.3,22.45,1568000,0.0
2017-01-18,22.55,23.1,22.51,23.04,3062000,0.0
2017-01-19,22.98,22.99,22.68,22.75,1592000,0.0
2017-01-20,22.77,22.81,22.57,22.58,1877000,0.0
2017-01-23,22.7,23.01,22.57,22.66,2831000,0.0
2017-01-24,22.66,22.78,22.65,22.66,937000,0.0
2017-02-02,22.9,22.9,22.3,22.34,2603000,0.0
2017-02-03,22.5,22.52,22.03,22.26,1951000,0.0
2017-02-06,22.28,22.83,22.28,22.64,2239000,0.0
2017-02-07,22.8,23.04,22.69,22.83,2212000,0.0
2017-02-08,22.98,22.98,22.45,22.9,1701000,0.0
2017-02-09,23.2,24.13,23.19,24.0,6513000,0.0
2017-02-10,24.03,24.52,24.03,24.44,3198000,0.0
2017-02-13,24.3,24.87,24.3,24.76,3517000,0.0
2017-02-14,24.89,25.0,24.62,24.71,3111000,0.0
2017-02-15,24.8,25.86,24.8,25.77,3791000,0.0
2017-02-16,25.79,25.96,25.38,25.76,2982000,0.0
2017-02-17,25.77,25.79,25.13,25.2,3367000,0.0
2017-02-20,25.12,25.73,25.12,25.62,3778000,0.0
2017-02-21,25.68,26.04,25.68,25.73,2790000,0.0
2017-02-22,25.78,26.08,25.65,26.05,2340000,0.0
2017-02-23,26.07,26.34,25.79,26.0,2411000,0.0
2017-02-24,26.0,26.0,25.55,25.63,2747000,0.0
2017-03-01,25.2,25.2,24.88,24.92,2436000,0.0
2017-03-02,25.29,25.67,25.05,25.15,2955000,0.0
2017-03-03,24.5,24.77,24.3,24.4,2360000,0.0
2017-03-06,24.23,24.71,24.23,24.57,2229000,0.0
2017-03-07,24.54,24.84,24.38,24.71,1512000,0.0
2017-03-08,24.71,25.03,24.3,24.89,2560000,0.0
2017-03-09,24.78,24.78,24.15,24.26,2577000,0.0
2017-03-10,24.2,24.27,23.8,23.93,2416000,0.0
2017-03-13,24.06,24.79,24.06,24.79,2831000,0.0
2017-03-14,24.96,25.1,24.79,24.93,2878000,0.0
2017-03-15,24.87,25.04,24.63,24.92,1321000,0.0
2017-03-16,25.28,25.75,25.22,25.62,2118000,0.0
2017-03-17,25.9,26.19,25.75,26.06,3408000,0.0
2017-03-20,25.92,26.23,25.7,26.13,2351000,0.0
2017-03-21,26.3,26.67,26.16,26.4,2755000,0.0
2017-03-22,25.85,25.85,25.23,25.28,2922000,0.0
2017-03-23,25.77,26.02,25.65,25.69,1660000,0.0
2017-03-24,25.93,25.94,25.46,25.48,1716000,0.0
2017-03-27,25.52,25.74,25.11,25.33,2467000,0.0
2017-03-28,25.33,25.43,25.21,25.28,1646000,0.0
2017-03-29,25.45,25.6,25.34,25.41,1407000,0.0
2017-03-30,25.39,25.39,24.73,24.79,2643000,0.0
2017-03-31,24.9,24.96,24.5,24.6,2408000,0.0
2017-04-05,25.0,25.08,24.53,24.68,2022000,0.0
2017-04-06,24.85,24.89,24.45,24.6,1877000,0.0
2017-04-07,24.8,24.8,24.08,24.41,2436000,0.0
2017-04-10,24.6,24.83,24.53,24.6,1528000,0.0
2017-04-11,24.5,24.67,23.96,23.97,2558000,0.0
2017-04-12,24.05,24.2,23.89,23.95,1561000,0.0
2017-04-13,24.21,24.38,23.95,24.38,1941000,0.0
