date,Open,High,Low,Close,Volume,Dividends
2016-10-03,20.0,20.0,20.0,20.0,0,0.0
2016-10-04,20.0,20.0,20.0,20.0,0,0.0
2016-10-05,20.0,20.0,20.0,20.0,0,0.0
2016-10-06,20.0,20.0,20.0,20.0,0,0.0
2016-10-07,20.0,20.0,20.0,20.0,0,0.0
2016-10-11,19.99,19.99,19.99,19.99,0,0.0
2016-10-12,19.99,19.99,19.99,19.99,0,0.0
2016-10-13,19.99,19.99,19.99,19.99,0,0.0
2016-10-14,19.98,19.98,19.98,19.98,0,0.0
2016-10-17,19.98,19.98,19.98,19.98,0,0.0
2016-10-18,20.0,20.0,20.0,20.0,0,0.0
2016-10-19,19.96,19.96,19.96,19.96,0,0.0
2016-10-20,19.93,19.93,19.93,19.93,0,0.0
2016-10-21,19.97,19.97,19.97,19.97,0,0.0
2016-10-24,20.08,20.08,20.08,20.08,0,0.0
2016-10-25,19.98,19.98,19.98,19.98,0,0.0
2016-10-26,19.98,19.98,19.98,19.98,0,0.0
2016-10-27,19.99,19.99,19.99,19.99,0,0.0
2016-10-28,19.99,19.99,19.99,19.99,0,0.0
2016-10-31,19.93,19.93,19.93,19.93,0,0.0
2016-11-01,19.8,19.8,19.8,19.8,0,0.0
2016-11-02,19.72,19.72,19.72,19.72,0,0.0
2016-11-03,19.63,19.63,19.63,19.63,0,0.0
2016-11-04,19.59,19.59,19.59,19.59,0,0.0
2016-11-07,20.02,20.02,20.02,20.02,0,0.0
2016-11-08,20.11,20.11,20.11,20.11,0,0.0
2016-11-09,20.36,20.36,20.36,20.36,0,0.0
2016-11-10,20.69,20.69,20.69,20.69,0,0.0
2016-11-14,20.98,20.98,20.98,20.98,0,0.0
2016-11-15,20.99,20.99,20.99,20.99,0,0.0
2016-11-16,20.93,20.93,20.93,20.93,0,0.0
2016-11-17,20.98,20.98,20.98,20.98,0,0.0
2016-11-18,21.03,21.03,21.03,21.03,0,0.0
2016-11-21,21.12,21.12,21.12,21.12,0,0.0
2016-11-22,21.16,21.16,21.16,21.16,0,0.0
2016-11-23,21.19,21.19,21.19,21.19,0,0.0
2016-11-25,21.3,21.3,21.3,21.3,0,0.0
2016-11-28,21.15,21.15,21.15,21.15,0,0.0
2016-11-29,21.2,21.2,21.2,21.2,0,0.0
2016-11-30,21.26,21.26,21.26,21.26,0,0.0
2016-12-01,21.33,21.33,21.33,21.33,0,0.0
2016-12-02,21.33,21.33,21.33,21.33,0,0.0
2016-12-05,21.42,21.42,21.42,21.42,0,0.0
2016-12-06,21.43,21.43,21.43,21.43,0,0.0
2016-12-07,21.73,21.73,21.73,21.73,0,0.0
2016-12-08,21.72,21.72,21.72,21.72,0,0.0
2016-12-09,21.94,21.94,21.94,21.94,0,0.0
2016-12-12,21.99,21.99,21.99,21.99,0,0.0
2016-12-13,22.09,22.09,22.09,22.09,0,0.0
2016-12-14,21.95,21.95,21.95,21.95,0,0.0
2016-12-15,22.1,22.1,22.1,22.1,0,0.0
2016-12-16,22.12,22.12,22.12,22.12,0,0.0
2016-12-19,22.16,22.16,22.16,22.16,0,0.0
2016-12-20,22.28,22.28,22.28,22.28,0,0.0
2016-12-21,22.26,22.26,22.26,22.26,0,0.0
2016-12-22,22.24,22.24,22.24,22.24,0,0.0
2016-12-23,22.35,22.35,22.35,22.35,0,0.0
2016-12-27,22.52,22.52,22.52,22.52,0,0.0
2016-12-28,22.43,22.43,22.43,22.43,0,0.0
2016-12-29,22.39,22.39,22.39,22.39,0,0.0
2016-12-30,22.21,22.21,22.21,22.21,0,0.0
2017-01-03,22.31,22.31,22.31,22.31,0,0.0
2017-01-04,22.41,22.41,22.41,22.41,0,0.0
2017-01-05,22.14,22.14,22.14,22.14,0,0.0
2017-01-06,22.27,22.27,22.27,22.27,0,0.0
2017-01-09,22.27,22.27,22.27,22.27,0,0.0
2017-01-10,22.11,22.11,22.11,22.11,0,0.0
2017-01-11,22.2,22.2,22.2,22.2,0,0.0
2017-01-12,22.0,22.0,22.0,22.0,0,0.0
2017-01-13,21.91,21.91,21.91,21.91,0,0.0
2017-01-17,21.84,21.84,21.84,21.84,0,0.0
2017-01-18,21.79,21.79,21.79,21.79,0,0.0
2017-01-19,21.75,21.75,21.75,21.75,0,0.0
2017-01-20,21.81,21.81,21.81,21.81,0,0.0
2017-01-23,21.69,21.69,21.69,21.69,0,0.0
2017-01-24,21.78,21.78,21.78,21.78,0,0.0
2017-02-02,21.55,21.55,21.55,21.55,0,0.0
2017-02-03,21.73,21.73,21.73,21.73,0,0.0
2017-02-06,21.63,21.63,21.63,21.63,0,0.0
2017-02-07,21.75,21.75,21.75,21.75,0,0.0
2017-02-08,21.79,21.79,21.79,21.79,0,0.0
2017-02-09,21.87,21.87,21.87,21.87,0,0.0
2017-02-10,21.96,21.96,21.96,21.96,0,0.0
2017-02-13,22.1,22.1,22.1,22.1,0,0.0
2017-02-14,22.1,22.1,22.1,22.1,0,0.0
2017-02-15,22.15,22.15,22.15,22.15,0,0.0
2017-02-16,22.18,22.18,22.18,22.18,0,0.0
2017-02-17,22.18,22.18,22.18,22.18,0,0.0
2017-02-21,22.31,22.31,22.31,22.31,0,0.0
2017-02-22,22.34,22.34,22.34,22.34,0,0.0
2017-02-23,22.36,22.36,22.36,22.36,0,0.0
2017-02-24,22.35,22.35,22.35,22.35,0,0.0
2017-03-01,22.7,22.7,22.7,22.7,0,0.0
2017-03-02,22.61,22.61,22.61,22.61,0,0.0
2017-03-03,22.77,22.77,22.77,22.77,0,0.0
2017-03-06,22.68,22.68,22.68,22.68,0,0.0
2017-03-07,22.59,22.59,22.59,22.59,0,0.0
2017-03-08,22.5,22.5,22.5,22.5,0,0.0
2017-03-09,22.61,22.61,22.61,22.61,0,0.0
2017-03-10,22.69,22.69,22.69,22.69,0,0.0
2017-03-13,22.58,22.58,22.58,22.58,0,0.0
2017-03-14,22.56,22.56,22.56,22.56,0,0.0
2017-03-15,22.6,22.6,22.6,22.6,0,0.0
2017-03-16,22.45,22.45,22.45,22.45,0,0.0
2017-03-17,22.35,22.35,22.35,22.35,0,0.0
2017-03-20,22.32,22.32,22.32,22.32,0,0.0
2017-03-21,21.96,21.96,21.96,21.96,0,0.0
2017-03-22,22.02,22.02,22.02,22.02,0,0.0
2017-03-23,22.0,22.0,22.0,22.0,0,0.0
2017-03-24,21.95,21.95,21.95,21.95,0,0.0
2017-03-27,21.73,21.73,21.73,21.73,0,0.0
2017-03-28,21.83,21.83,21.83,21.83,0,0.0
2017-03-29,21.84,21.84,21.84,21.84,0,0.0
