date,Open,High,Low,Close,Volume,Dividends
2025-04-21,8.93,8.93,8.93,8.93,0,0.0
2025-04-22,8.99,8.99,8.99,8.99,0,0.0
2025-04-23,9.11,9.11,9.11,9.11,50500,0.0
2025-04-24,9.11,9.11,9.11,9.11,51900,0.0
2025-04-25,9.14,9.16,9.14,9.16,53500,0.0
2025-04-28,9.26,9.27,9.26,9.26,54700,0.0
2025-04-29,9.28,9.29,9.28,9.29,53300,0.0
2025-04-30,9.35,9.36,9.35,9.36,52000,0.0
2025-05-02,9.22,9.22,9.22,9.22,50000,0.0
2025-05-05,9.11,9.11,9.11,9.11,50000,0.0
2025-05-06,9.06,9.06,9.06,9.06,50800,0.0
2025-05-07,9.06,9.14,9.06,9.14,30800,0.0
2025-05-08,9.15,9.16,9.15,9.16,50500,0.0
2025-05-09,9.12,9.12,9.07,9.08,51500,0.0
2025-05-12,9.04,9.04,9.04,9.04,50000,0.0
2025-05-13,9.0,9.0,8.99,8.99,50500,0.0
2025-05-14,8.97,8.97,8.97,8.97,50200,0.0
2025-05-15,8.91,8.92,8.9,8.92,103300,0.0
2025-05-16,9.02,9.02,9.02,9.02,50100,0.0
2025-05-19,8.91,8.91,8.88,8.88,50900,0.0
2025-05-20,9.0,9.0,9.0,9.0,50200,0.0
2025-05-21,8.89,8.89,8.87,8.87,50900,0.0
2025-05-22,8.74,8.74,8.73,8.74,50600,0.0
2025-05-23,8.81,8.81,8.8,8.8,50800,0.0
2025-05-26,8.75,8.75,8.74,8.74,54400,0.0
2025-05-27,8.85,8.89,8.85,8.89,52000,0.0
2025-05-28,8.9,8.91,8.89,8.89,51900,0.0
2025-05-29,8.88,8.88,8.88,8.88,51300,0.0
