date,Open,High,Low,Close,Volume,Dividends
2018-05-23,19.97,19.97,19.97,19.97,0,0.0
2018-05-24,19.97,19.97,19.97,19.97,0,0.0
2018-05-25,19.97,19.97,19.97,19.97,0,0.0
2018-05-29,19.98,19.98,19.98,19.98,0,0.0
2018-05-30,19.98,19.98,19.98,19.98,0,0.0
2018-05-31,19.86,19.86,19.86,19.86,0,0.0
2018-06-01,19.88,19.88,19.78,19.78,1138000,0.0
2018-06-04,19.78,19.79,19.74,19.74,445000,0.0
2018-06-05,19.75,19.78,19.73,19.73,136000,0.0
2018-06-06,19.88,19.9,19.87,19.89,407000,0.0
2018-06-07,20.05,20.06,20.03,20.05,567000,0.0
2018-06-08,20.1,20.1,20.05,20.05,402000,0.0
2018-06-11,20.19,20.35,20.17,20.32,719000,0.0
2018-06-12,20.33,20.33,20.28,20.3,364000,0.0
2018-06-13,20.28,20.28,20.22,20.23,80000,0.0
2018-06-14,20.45,20.48,20.4,20.48,380000,0.0
2018-06-15,20.61,20.74,20.61,20.68,332000,0.0
2018-06-19,19.91,19.94,19.87,19.87,377000,0.0
2018-06-20,19.71,19.72,19.66,19.69,583000,0.0
2018-06-21,19.64,19.64,19.55,19.55,235000,0.0
2018-06-22,19.69,19.72,19.68,19.7,382000,0.0
2018-06-25,19.81,19.81,19.7,19.7,35000,0.0
2018-06-26,19.7,19.71,19.66,19.66,192000,0.0
2018-06-27,19.63,19.63,19.51,19.55,76000,0.0
2018-06-28,19.42,19.43,19.4,19.4,183000,0.0
2018-06-29,19.29,19.43,19.25,19.43,499000,0.0
2018-07-02,19.39,19.39,19.26,19.26,428000,0.0
2018-07-03,19.1,19.1,19.0,19.0,498000,0.0
2018-07-04,19.3,19.38,19.3,19.35,198000,0.0
2018-07-05,19.37,19.37,19.3,19.3,177000,0.0
2018-07-06,19.3,19.3,19.2,19.24,32000,0.0
2018-07-09,19.3,19.36,19.3,19.36,3000,0.0
2018-07-10,19.36,19.41,19.36,19.36,40000,0.0
2018-07-11,19.16,19.16,19.14,19.15,9000,0.0
2018-07-12,18.96,19.05,18.95,19.05,71000,0.0
2018-07-13,19.18,19.19,19.16,19.16,14000,0.0
2018-07-16,19.04,19.06,19.01,19.06,56000,0.0
2018-07-17,18.97,19.0,18.95,19.0,260000,0.0
2018-07-18,18.74,18.76,18.71,18.71,709000,0.0
2018-07-19,18.7,18.7,18.57,18.59,484000,0.0
2018-07-20,18.41,18.45,18.3,18.45,115000,0.0
2018-07-23,18.7,18.7,18.65,18.65,42000,0.0
2018-07-24,18.49,18.49,18.44,18.47,45000,0.0
2018-07-25,18.57,18.62,18.57,18.62,21000,0.0
2018-07-26,18.71,18.82,18.71,18.74,78000,0.0
2018-07-27,18.5,18.55,18.5,18.55,134000,0.0
2018-07-30,18.55,18.55,18.51,18.54,8000,0.0
2018-07-31,18.57,18.62,18.56,18.62,8000,0.0
2018-08-01,18.64,18.65,18.56,18.58,125000,0.0
2018-08-02,18.5,18.54,18.46,18.51,25000,0.0
2018-08-03,18.44,18.44,18.36,18.4,69000,0.0
2018-08-06,18.56,18.56,18.49,18.52,29000,0.0
2018-08-07,18.41,18.45,18.4,18.45,108000,0.0
2018-08-08,18.42,18.5,18.42,18.5,20000,0.0
2018-08-09,18.55,18.56,18.51,18.54,92000,0.0
2018-08-10,18.54,18.54,18.44,18.44,32000,0.0
2018-08-13,18.37,18.37,18.31,18.36,154000,0.0
2018-08-14,18.01,18.05,18.0,18.01,264000,0.0
2018-08-15,18.01,18.01,17.89,17.89,178000,0.0
2018-08-16,17.28,17.41,17.2,17.41,199000,0.0
2018-08-17,17.61,17.62,17.5,17.5,47000,0.0
2018-08-20,17.7,17.72,17.7,17.71,131000,0.0
2018-08-21,17.74,17.74,17.71,17.73,113000,0.0
2018-08-22,17.72,17.72,17.7,17.7,24000,0.0
2018-08-23,17.63,17.63,17.5,17.55,208000,0.0
2018-08-24,17.36,17.43,17.36,17.42,39000,0.0
2018-08-27,17.81,17.81,17.74,17.79,31000,0.0
2018-08-28,17.87,17.87,17.78,17.78,28000,0.0
2018-08-29,17.66,17.66,17.63,17.64,104000,0.0
2018-08-30,17.58,17.61,17.51,17.51,198000,0.0
2018-08-31,17.39,17.48,17.36,17.48,37000,0.0
2018-09-03,17.35,17.35,17.21,17.33,305000,0.0
2018-09-04,17.3,17.3,17.29,17.3,54000,0.0
2018-09-05,16.94,16.95,16.91,16.92,662000,0.0
2018-09-06,17.0,17.0,16.91,16.94,103000,0.0
2018-09-07,16.98,16.98,16.84,16.86,322000,0.0
2018-09-10,16.86,16.87,16.84,16.87,47000,0.0
2018-09-11,16.87,16.92,16.87,16.91,29000,0.0
2018-09-12,16.83,16.85,16.8,16.84,251000,0.0
2018-09-13,17.0,17.0,16.98,17.0,50000,0.0
2018-09-14,16.96,17.02,16.96,17.02,22000,0.0
2018-09-17,16.85,16.85,16.83,16.84,148000,0.0
2018-09-18,16.87,16.88,16.86,16.88,28000,0.0
2018-09-19,16.9,16.97,16.9,16.97,49000,0.0
2018-09-20,17.03,17.12,17.03,17.12,344000,0.0
2018-09-21,17.18,17.18,17.12,17.14,705000,0.0
2018-09-25,16.97,16.97,16.97,16.97,37000,0.0
2018-09-26,17.25,17.27,17.22,17.26,308000,0.0
2018-09-27,17.22,17.27,17.22,17.26,432000,0.0
2018-09-28,17.01,17.11,17.01,17.07,221000,0.0
2018-10-01,17.49,17.49,17.42,17.42,32000,0.0
2018-10-02,17.37,17.37,17.32,17.36,132000,0.0
2018-10-03,17.52,17.64,17.52,17.63,596000,0.0
2018-10-04,17.46,17.46,17.39,17.45,40000,0.0
2018-10-05,17.44,17.44,17.38,17.38,22000,0.0
2018-10-08,17.42,17.42,17.29,17.29,161000,0.0
2018-10-09,17.21,17.21,17.15,17.19,30000,0.0
2018-10-11,17.3,17.3,17.02,17.09,134000,0.0
2018-10-12,17.35,17.43,17.33,17.38,39000,0.0
2018-10-15,17.48,17.5,17.46,17.5,125000,0.0
2018-10-16,17.58,17.6,17.54,17.55,216000,0.0
2018-10-17,17.54,17.54,17.36,17.38,93000,0.0
2018-10-18,17.38,17.38,17.38,17.38,0,0.0
2018-10-19,17.41,17.48,17.41,17.43,53000,0.0
2018-10-22,17.45,17.51,17.45,17.48,66000,0.0
2018-10-23,17.41,17.41,17.31,17.32,333000,0.0
2018-10-24,17.57,17.65,17.56,17.65,270000,0.0
2018-10-25,17.59,17.62,17.56,17.58,69000,0.0
2018-10-26,17.46,17.46,17.44,17.45,18000,0.0
2018-10-29,17.57,17.57,17.48,17.49,202000,0.0
2018-10-30,17.32,17.32,17.28,17.32,23000,0.0
2018-10-31,17.17,17.22,17.1,17.13,78000,0.0
2018-11-01,17.05,17.09,17.04,17.07,273000,0.0
2018-11-02,17.23,17.52,17.23,17.5,48000,0.0
2018-11-05,17.5,17.5,17.5,17.5,0,0.0
2018-11-06,17.5,17.5,17.5,17.5,0,0.0
2018-11-07,17.5,17.5,17.5,17.5,0,0.0
2018-11-08,17.25,17.32,17.25,17.32,37000,0.0
2018-11-09,17.19,17.19,17.09,17.12,192000,0.0
2018-11-12,16.91,16.91,16.85,16.86,239000,0.0
2018-11-13,16.67,16.77,16.64,16.77,98000,0.0
2018-11-14,16.66,16.7,16.62,16.67,472000,0.0
2018-11-15,16.84,16.84,16.73,16.82,111000,0.0
2018-11-16,16.85,17.0,16.85,16.93,29000,0.0
2018-11-19,17.04,17.07,17.04,17.05,40000,0.0
2018-11-20,17.12,17.12,17.05,17.05,12000,0.0
2018-11-21,17.05,17.05,17.05,17.05,0,0.0
2018-11-22,17.15,17.18,17.1,17.13,187000,0.0
2018-11-23,17.19,17.19,17.13,17.17,76000,0.0
2018-11-26,17.17,17.17,17.17,17.17,0,0.0
2018-11-27,17.17,17.17,17.17,17.17,0,0.0
2018-11-28,16.85,16.85,16.83,16.84,176000,0.0
2018-11-29,17.05,17.05,16.98,17.03,246000,0.0
2018-11-30,17.6,17.6,16.97,17.03,12000,0.0
2018-12-03,16.93,17.0,16.92,16.95,64000,0.0
2018-12-04,16.95,16.95,16.95,16.95,0,0.0
2018-12-05,17.14,17.21,17.14,17.15,91000,0.0
2018-12-06,17.2,17.2,17.1,17.1,339000,0.0
2018-12-07,17.19,17.19,17.12,17.17,32000,0.0
2018-12-10,17.25,17.34,17.25,17.32,212000,0.0
2018-12-11,17.2,17.35,17.2,17.35,549000,0.0
2018-12-12,17.35,17.37,17.33,17.33,90000,0.0
2018-12-13,17.44,17.52,17.43,17.52,208000,0.0
2018-12-14,17.42,17.47,17.4,17.4,31000,0.0
2018-12-17,17.27,17.32,17.21,17.21,233000,0.0
2018-12-18,17.41,17.43,17.39,17.39,158000,0.0
