date,Open,High,Low,Close,Volume,Dividends
2022-10-12,15.0,15.0,15.0,15.0,0,0.0
2022-10-13,15.0,15.0,15.0,15.0,0,0.0
2022-10-14,15.0,15.0,15.0,15.0,0,0.0
2022-10-17,15.0,15.0,15.0,15.0,0,0.0
2022-10-18,14.99,14.99,14.99,14.99,0,0.0
2022-10-19,14.88,14.88,14.88,14.88,0,0.0
2022-10-20,14.85,14.89,14.8,14.8,34201000,0.0
2022-10-21,14.75,14.76,14.72,14.73,15277000,0.0
2022-10-24,14.9,14.94,14.85,14.85,7452000,0.0
2022-10-25,15.0,15.11,14.95,15.06,10100000,0.0
2022-10-26,15.48,15.49,15.42,15.44,8559000,0.0
2022-10-27,15.97,16.0,15.91,15.93,4182000,0.0
2022-10-28,16.02,16.04,15.98,15.98,5956000,0.0
2022-10-31,16.14,16.15,16.05,16.14,1359000,0.0
2022-11-01,16.26,16.31,16.26,16.3,1506000,0.0
2022-11-02,16.28,16.28,16.23,16.24,1488000,0.0
2022-11-03,16.14,16.14,16.09,16.12,1449000,0.0
2022-11-04,16.17,16.26,16.17,16.26,1303100,0.0
2022-11-07,16.17,16.17,16.02,16.1,1979000,0.0
2022-11-08,16.14,16.15,16.1,16.1,1552000,0.0
2022-11-09,16.47,16.51,16.4,16.44,1644000,0.0
2022-11-10,16.51,16.55,16.47,16.49,1727000,0.0
2022-11-11,17.43,17.43,17.31,17.34,1768000,0.0
2022-11-14,17.32,17.32,17.05,17.07,608000,0.0
2022-11-15,17.0,17.04,16.97,17.03,1179000,0.0
2022-11-16,17.07,17.21,17.07,17.19,2048000,0.0
2022-11-17,17.21,17.21,17.11,17.13,748000,0.0
2022-11-18,17.18,17.18,17.12,17.12,886020,0.0
2022-11-21,17.14,17.15,17.12,17.12,669038,0.0
2022-11-22,17.07,17.07,17.01,17.02,1053000,0.0
2022-11-23,17.21,17.24,17.21,17.23,1141000,0.0
2022-11-24,17.42,17.42,17.37,17.39,944000,0.0
2022-11-25,17.44,17.46,17.41,17.41,667000,0.0
2022-11-28,17.4,17.4,17.29,17.29,829000,0.0
2022-11-29,17.18,17.18,17.11,17.15,752000,0.0
2022-11-30,16.95,16.95,16.89,16.93,1337000,0.0
2022-12-01,17.42,17.45,17.27,17.28,1912000,0.0
2022-12-02,17.26,17.29,17.26,17.28,236000,0.0
2022-12-05,17.43,17.46,17.38,17.4,746000,0.0
2022-12-06,17.31,17.39,17.31,17.34,903000,0.0
2022-12-07,17.05,17.05,17.01,17.03,648000,0.0
2022-12-08,17.0,17.0,16.95,16.97,1187000,0.0
2022-12-09,17.0,17.02,16.99,17.02,428000,0.0
2022-12-12,16.99,17.01,16.98,17.0,469013,0.0
2022-12-13,17.11,17.12,17.08,17.1,909000,0.0
2022-12-14,17.44,17.44,17.32,17.35,844000,0.0
2022-12-15,17.55,17.62,17.53,17.54,1116000,0.0
