date,Open,High,Low,Close,Volume,Dividends
2023-12-08,16.18,16.25,15.96,16.0,96414300,0.0
2023-12-11,15.95,15.95,15.8,15.81,72044360,0.0
2023-12-12,15.81,15.94,15.75,15.9,52575240,0.0
2023-12-13,15.91,16.0,15.9,15.97,41452230,0.0
2023-12-15,16.3,16.44,16.26,16.43,57336890,0.0
2023-12-18,16.51,17.1,16.51,17.08,93999970,0.0
2023-12-19,17.01,17.02,16.71,16.76,73043360,0.0
2023-12-20,16.8,16.96,16.71,16.74,47847560,0.0
2023-12-21,16.76,16.79,16.45,16.47,66054730,0.0
2023-12-22,16.41,16.43,16.25,16.29,51798580,0.0
2023-12-25,16.2,16.29,16.1,16.11,44721060,0.0
2023-12-26,16.1,16.27,16.03,16.17,42589640,0.0
2023-12-27,15.87,16.02,15.81,15.96,221499200,0.0
2023-12-28,16.05,16.08,15.93,15.95,198153000,0.0
2023-12-29,15.91,16.04,15.9,16.01,198937800,0.0
2024-01-02,15.93,16.0,15.9,15.96,169751400,0.0
2024-01-03,15.89,15.96,15.88,15.92,130375100,0.0
2024-01-04,15.87,15.92,15.87,15.88,125771800,0.0
2024-01-05,15.81,15.83,15.8,15.8,97449120,0.0
2024-01-08,15.74,15.74,15.7,15.7,79473590,0.0
2024-01-09,15.8,15.84,15.76,15.84,62702540,0.0
2024-01-10,15.9,15.92,15.86,15.86,66724520,0.0
2024-01-11,15.88,15.92,15.86,15.86,40530580,0.0
2024-01-12,15.9,15.91,15.86,15.87,50159020,0.0
2024-01-15,15.9,15.95,15.85,15.94,52982010,0.0
2024-01-16,15.9,15.97,15.89,15.96,58869350,0.0
2024-01-17,15.87,15.92,15.85,15.85,71876930,0.0
2024-01-19,15.8,15.8,15.7,15.71,93062400,0.0
2024-01-22,15.77,15.77,15.7,15.75,77400930,0.0
2024-01-23,15.77,15.78,15.73,15.74,79582250,0.0
2024-01-24,15.67,15.68,15.65,15.66,112730300,0.0
2024-01-25,15.6,15.62,15.56,15.61,102905600,0.0
2024-01-26,15.71,15.73,15.7,15.72,68503730,0.0
2024-01-29,15.71,15.72,15.68,15.69,99792940,0.0
2024-01-30,15.78,15.78,15.73,15.76,81742930,0.0
2024-01-31,15.8,15.89,15.78,15.88,91214580,0.0
2024-02-01,15.94,15.96,15.9,15.94,62336890,0.0
2024-02-02,16.02,16.05,15.93,15.97,134054100,0.0
2024-02-05,15.86,15.88,15.83,15.85,152102300,0.0
2024-02-15,15.62,15.65,15.59,15.65,215560800,0.0
2024-02-16,15.66,15.76,15.6,15.76,115056900,0.0
2024-02-19,15.73,15.76,15.7,15.73,136224600,0.0
2024-02-20,15.71,15.73,15.7,15.72,95704260,0.0
2024-02-21,15.71,15.73,15.71,15.71,127700300,0.0
2024-02-22,15.69,15.71,15.69,15.71,98843360,0.0
2024-02-23,15.73,15.77,15.72,15.77,97340340,0.0
2024-02-26,15.86,15.95,15.86,15.94,132067300,0.0
2024-02-27,15.7,15.71,15.68,15.69,204985900,0.0
2024-02-29,15.61,15.62,15.6,15.6,185165200,0.0
2024-03-01,15.61,15.61,15.55,15.58,160869300,0.0
2024-03-04,15.66,15.69,15.59,15.65,145133500,0.0
2024-03-05,15.64,15.68,15.63,15.68,120255300,0.0
2024-03-06,15.74,15.78,15.72,15.76,121831400,0.0
2024-03-07,15.84,15.9,15.83,15.9,130767300,0.0
2024-03-08,15.94,15.95,15.9,15.92,130181200,0.0
2024-03-11,15.93,16.0,15.92,15.99,135994300,0.0
2024-03-12,15.97,15.99,15.95,15.98,114469100,0.0
2024-03-13,15.94,15.94,15.9,15.92,127980000,0.0
2024-03-14,15.9,15.91,15.9,15.91,94746730,0.0
2024-03-15,15.8,15.87,15.77,15.86,122030000,0.0
2024-03-18,15.79,15.83,15.78,15.8,90476250,0.0
2024-03-19,15.8,15.81,15.78,15.79,82284810,0.0
2024-03-20,15.8,15.81,15.78,15.79,98752570,0.0
2024-03-21,15.84,15.85,15.79,15.79,100225900,0.0
2024-03-22,15.79,15.91,15.78,15.86,266384600,0.0
2024-03-25,15.95,15.98,15.86,15.91,190133200,0.0
2024-03-26,15.87,15.9,15.85,15.88,110392800,0.0
2024-03-27,15.87,15.91,15.86,15.9,120165100,0.0
2024-03-28,15.97,15.97,15.95,15.95,102224500,0.0
2024-03-29,15.98,16.04,15.98,16.04,115515700,0.0
2024-04-01,16.04,16.07,16.02,16.07,100348800,0.0
2024-04-02,15.96,15.98,15.93,15.96,170875300,0.0
2024-04-03,15.93,15.94,15.88,15.89,138257700,0.0
2024-04-08,15.82,15.83,15.81,15.81,124797100,0.0
2024-04-09,15.83,15.88,15.82,15.86,104795000,0.0
2024-04-10,15.91,15.92,15.88,15.89,88139320,0.0
2024-04-11,15.75,15.82,15.71,15.81,178232500,0.0
2024-04-12,15.78,15.81,15.77,15.79,108708400,0.0
2024-04-15,15.81,15.88,15.81,15.82,92583410,0.0
2024-04-16,15.53,15.7,15.52,15.64,296647300,0.0
2024-04-17,15.57,15.59,15.51,15.56,217459100,0.0
2024-04-18,15.52,15.53,15.51,15.51,113982300,0.0
2024-04-19,15.5,15.66,15.48,15.55,180017500,0.0
2024-04-22,15.5,15.51,15.47,15.48,138449100,0.0
2024-04-23,15.52,15.58,15.52,15.58,96961890,0.0
2024-04-24,15.6,15.61,15.55,15.57,72305910,0.0
2024-04-25,15.54,15.54,15.52,15.52,68025100,0.0
2024-04-26,15.48,15.49,15.47,15.47,111733900,0.0
2024-04-29,15.55,15.58,15.54,15.56,67688840,0.0
2024-04-30,15.59,15.61,15.57,15.6,85048530,0.0
2024-05-02,15.59,15.6,15.56,15.56,99408070,0.0
2024-05-03,15.58,15.59,15.53,15.54,129083800,0.0
2024-05-06,15.64,15.67,15.61,15.67,144692500,0.0
2024-05-07,15.73,15.82,15.72,15.81,164351800,0.0
2024-05-08,15.82,15.86,15.81,15.82,123506700,0.0
2024-05-09,15.75,15.76,15.73,15.73,116148700,0.0
2024-05-10,15.8,15.84,15.8,15.8,112988600,0.0
2024-05-13,15.77,15.77,15.73,15.75,122413300,0.0
2024-05-14,15.75,15.76,15.74,15.75,99376570,0.0
2024-05-15,15.81,15.82,15.73,15.74,211825300,0.0
2024-05-16,15.87,15.94,15.85,15.9,214046600,0.0
2024-05-17,15.79,15.83,15.78,15.81,92347300,0.0
2024-05-20,15.77,15.78,15.76,15.77,96293890,0.0
2024-05-21,15.76,15.78,15.75,15.76,83192360,0.0
2024-05-22,15.79,15.8,15.77,15.78,94765720,0.0
2024-05-23,15.77,15.77,15.75,15.75,180169100,0.0
2024-05-24,15.7,15.72,15.68,15.69,192552700,0.0
2024-05-27,15.71,15.72,15.67,15.68,134296000,0.0
2024-05-28,15.68,15.69,15.64,15.65,158790900,0.0
2024-05-29,15.56,15.57,15.52,15.55,354473800,0.0
2024-05-30,15.49,15.53,15.48,15.53,186201600,0.0
2024-05-31,15.64,15.68,15.63,15.68,117962500,0.0
2024-06-03,15.76,15.78,15.71,15.75,123613300,0.0
