date,Open,High,Low,Close,Volume,Dividends
2025-05-06,9.89,10.02,9.87,9.98,17486410,0.0
2025-05-07,10.03,10.05,9.97,9.99,18614730,0.0
2025-05-08,10.05,10.14,10.04,10.13,11701730,0.0
2025-05-09,10.18,10.25,10.13,10.25,13645290,0.0
2025-05-12,10.34,10.4,10.32,10.37,14917380,0.0
2025-05-13,10.67,10.67,10.44,10.45,36109850,0.0
2025-05-14,10.59,10.71,10.55,10.71,19109000,0.0
2025-05-15,10.72,10.73,10.65,10.71,16842210,0.0
2025-05-16,10.7,10.79,10.69,10.77,18457834,0.0
2025-05-19,10.73,10.74,10.55,10.56,20799797,0.0
2025-05-20,10.65,10.68,10.54,10.57,12463150,0.0
2025-05-21,10.61,10.72,10.6,10.72,6432782,0.0
2025-05-22,10.61,10.67,10.61,10.66,7003606,0.0
2025-05-23,10.7,10.72,10.63,10.66,8331073,0.0
2025-05-26,10.63,10.72,10.63,10.64,7990241,0.0
2025-05-27,10.67,10.67,10.55,10.57,9084781,0.0
2025-05-28,10.69,10.71,10.57,10.62,5805817,0.0
2025-05-29,10.74,10.76,10.67,10.72,12258550,0.0
