Ticker_Symbol,Stock_Name,Sector
1101,台泥,水泥工業
1102,亞泥,水泥工業
1104,環泥,水泥工業
1210,大成,食品工業
1215,卜蜂,食品工業
1216,統一,食品工業
1227,佳格,食品工業
1229,聯華,食品工業
1232,大統益,食品工業
1301,台塑,塑膠工業
1303,南亞,塑膠工業
1307,三芳,塑膠工業
1308,亞聚,塑膠工業
1314,中石化,塑膠工業
1319,東陽,汽車工業
1326,台化,塑膠工業
1402,遠東新,紡織纖維
1434,福懋,紡織纖維
1436,華友聯,建材營造
1442,名軒,建材營造
1476,儒鴻,紡織纖維
1477,聚陽,紡織纖維
1503,士電,電機機械
1504,東元,電機機械
1513,中興電,電機機械
1519,華城,電機機械
1522,堤維西,汽車工業
1535,中宇,電機機械
1537,廣隆,電機機械
1560,中砂,電機機械
1582,信錦,電子零組件業
1590,亞德客-KY,電機機械
1597,直得,電機機械
1605,華新,電器電纜
1609,大亞,電器電纜
1615,大山,電器電纜
1707,葡萄王,生技醫療業
1708,東鹼,化學工業
1712,興農,化學工業
1714,和桐,化學工業
1717,長興,化學工業
1720,生達,生技醫療業
1722,台肥,化學工業
1723,中碳,化學工業
1736,喬山,運動休閒
1773,勝一,化學工業
1785,光洋科,其他電子業
1795,美時,生技醫療業
1802,台玻,玻璃陶瓷
1808,潤隆,建材營造
1810,和成,玻璃陶瓷
1904,正隆,造紙工業
1905,華紙,造紙工業
1907,永豐餘,造紙工業
2002,中鋼,鋼鐵工業
2006,東和鋼鐵,鋼鐵工業
2014,中鴻,鋼鐵工業
2015,豐興,鋼鐵工業
2023,燁輝,鋼鐵工業
2027,大成鋼,鋼鐵工業
2049,上銀,電機機械
2059,川湖,電子零組件業
2101,南港,橡膠工業
2105,正新,橡膠工業
2106,建大,橡膠工業
2201,裕隆,汽車工業
2204,中華,汽車工業
2206,三陽工業,汽車工業
2207,和泰車,汽車工業
2211,長榮鋼,鋼鐵工業
2227,裕日車,汽車工業
2231,為升,汽車工業
2233,宇隆,汽車工業
2250,IKKA-KY,汽車工業
2301,光寶科,電腦及週邊設備業
2303,聯電,半導體業
2308,台達電,電子零組件業
2313,華通,電子零組件業
2317,鴻海,其他電子業
2323,中環,光電業
2324,仁寶,電腦及週邊設備業
2327,國巨,電子零組件業
2328,廣宇,電子零組件業
2329,華泰,半導體業
2330,台積電,半導體業
2337,旺宏,半導體業
2338,光罩,半導體業
2340,台亞,半導體業
2344,華邦電,半導體業
2345,智邦,通信網路業
2347,聯強,電子通路業
2348,海悅,其他
2351,順德,半導體業
2352,佳世達,電腦及週邊設備業
2353,宏碁,電腦及週邊設備業
2354,鴻準,其他電子業
2355,敬鵬,電子零組件業
2356,英業達,電腦及週邊設備業
2357,華碩,電腦及週邊設備業
2360,致茂,其他電子業
2362,藍天,電腦及週邊設備業
2363,矽統,半導體業
2365,昆盈,電腦及週邊設備業
2367,燿華,電子零組件業
2368,金像電,電子零組件業
2369,菱生,半導體業
2371,大同,電機機械
2373,震旦行,其他電子業
2375,凱美,電子零組件業
2376,技嘉,電腦及週邊設備業
2377,微星,電腦及週邊設備業
2379,瑞昱,半導體業
2382,廣達,電腦及週邊設備業
2383,台光電,電子零組件業
2385,群光,電子零組件業
2387,精元,電腦及週邊設備業
2388,威盛,半導體業
2392,正崴,電子零組件業
2393,億光,光電業
2395,研華,電腦及週邊設備業
2397,友通,電腦及週邊設備業
2401,凌陽,半導體業
2402,毅嘉,電子零組件業
2404,漢唐,其他電子業
2405,輔信,電腦及週邊設備業
2408,南亞科,半導體業
2409,友達,光電業
2412,中華電,通信網路業
2417,圓剛,電腦及週邊設備業
2420,新巨,電子零組件業
2421,建準,電子零組件業
2426,鼎元,光電業
2428,興勤,電子零組件業
2436,偉詮電,半導體業
2439,美律,通信網路業
2441,超豐,半導體業
2449,京元電子,半導體業
2450,神腦,通信網路業
2451,創見,半導體業
2453,凌群,資訊服務業
2454,聯發科,半導體業
2455,全新,通信網路業
2457,飛宏,電子零組件業
2458,義隆,半導體業
2459,敦吉,其他電子業
2464,盟立,其他電子業
2467,志聖,電子零組件業
2472,立隆電,電子零組件業
2474,可成,其他電子業
2476,鉅祥,電子零組件業
2478,大毅,電子零組件業
2480,敦陽科,資訊服務業
2481,強茂,半導體業
2489,瑞軒,光電業
2492,華新科,電子零組件業
2493,揚博,電子零組件業
2495,普安,電腦及週邊設備業
2498,宏達電,通信網路業
2501,國建,建材營造
2504,國產,建材營造
2515,中工,建材營造
2520,冠德,建材營造
2524,京城,建材營造
2530,華建,建材營造
2539,櫻花建,建材營造
2540,愛山林,建材營造
2542,興富發,建材營造
2543,皇昌,建材營造
2545,皇翔,建材營造
2548,華固,建材營造
2597,潤弘,建材營造
2603,長榮,航運業
2606,裕民,航運業
2607,榮運,航運業
2609,陽明,航運業
2610,華航,航運業
2615,萬海,航運業
2617,台航,航運業
2618,長榮航,航運業
2633,台灣高鐵,航運業
2634,漢翔,航運業
2637,慧洋-KY,航運業
2646,星宇航空,航運業
2707,晶華,觀光餐旅
2723,美食-KY,觀光餐旅
2727,王品,觀光餐旅
2731,雄獅,觀光餐旅
2801,彰銀,金融保險業
2809,京城銀,金融保險業
2812,台中銀,金融保險業
2834,臺企銀,金融保險業
2838,聯邦銀,金融保險業
2845,遠東銀,金融保險業
2849,安泰銀,金融保險業
2850,新產,金融保險業
2855,統一證,金融保險業
2880,華南金,金融保險業
2881,富邦金,金融保險業
2882,國泰金,金融保險業
2883,凱基金,金融保險業
2884,玉山金,金融保險業
2885,元大金,金融保險業
2886,兆豐金,金融保險業
2887,台新金,金融保險業
2888,新光金,金融保險業
2889,國票金,金融保險業
2890,永豐金,金融保險業
2891,中信金,金融保險業
2892,第一金,金融保險業
2897,王道銀行,金融保險業
2903,遠百,貿易百貨
2912,統一超,貿易百貨
2915,潤泰全,貿易百貨
3003,健和興,電子零組件業
3005,神基,電腦及週邊設備業
3006,晶豪科,半導體業
3008,大立光,光電業
3010,華立,電子通路業
3013,晟銘電,電腦及週邊設備業
3014,聯陽,半導體業
3015,全漢,電子零組件業
3016,嘉晶,半導體業
3017,奇鋐,電腦及週邊設備業
3019,亞光,光電業
3022,威強電,電腦及週邊設備業
3023,信邦,電子零組件業
3026,禾伸堂,電子零組件業
3027,盛達,通信網路業
3029,零壹,資訊服務業
3030,德律,其他電子業
3032,偉訓,電子零組件業
3033,威健,電子通路業
3034,聯詠,半導體業
3035,智原,半導體業
3036,文曄,電子通路業
3037,欣興,電子零組件業
3038,全台,光電業
3042,晶技,電子零組件業
3044,健鼎,電子零組件業
3045,台灣大,通信網路業
3048,益登,電子通路業
3049,精金,光電業
3051,力特,光電業
3059,華晶科,光電業
3078,僑威,電子零組件業
3088,艾訊,電腦及週邊設備業
3090,日電貿,電子零組件業
3105,穩懋,半導體業
3131,弘塑,其他電子業
3169,亞信,半導體業
3189,景碩,半導體業
3209,全科,電子通路業
3211,順達,電腦及週邊設備業
3227,原相,半導體業
3228,金麗科,半導體業
3231,緯創,電腦及週邊設備業
3260,威剛,半導體業
3264,欣銓,半導體業
3293,鈊象,文化創意業
3323,加百裕,電腦及週邊設備業
3324,雙鴻,其他電子業
3357,臺慶科,電子零組件業
3374,精材,半導體業
3376,新日興,電子零組件業
3380,明泰,通信網路業
3406,玉晶光,光電業
3413,京鼎,半導體業
3416,融程電,電腦及週邊設備業
3443,創意,半導體業
3450,聯鈞,半導體業
3454,晶睿,光電業
